GeneID	GSM1580869	GSM1580870	GSM1580871	GSM1580872	GSM1580873	GSM1580874
100287102	0.3092	0.07989	0.07335	0.1641	0.1541	0.08406
653635	28.02	34.66	16.37	22.81	21.65	22.59
102466751	31.43	51.44	28.51	32.78	31.03	38.8
107985730	0.211	0.368	0.2816	0.168	0.2705	0.3227
100302278	0.1371	0.4782	0.2195	0	0	0.5032
645520	0.06696	0.1168	0.4022	0.02666	0.06438	0
79501	0	0	0	0	0	0
100996442	0.8658	1.133	0.9224	1.296	1.085	1.171
729737	2.713	5.377	3.658	4.056	2.738	4.008
102725121	0.4002	0.04107	0.0377	0.2718	0.3169	0.06481
102723897	37.01	50.78	22.85	22.67	27.18	25.53
102465909	25.59	29.11	12.92	17.06	14.44	15.32
107985721	0.1118	0.1463	0.1008	0.1503	0.1479	0.1796
112268260	0.3701	0.2903	0.2895	0.6877	0.3862	0.4792
729759	0	0.07028	0.03226	0	0.03874	0
100132287	3.71	9.167	5.373	4.098	3.155	4.179
105378947	0.03229	0.0845	0.1681	0.1286	0.07763	0.2223
101928626	0	0	0.03796	0.01888	0	0
113219467	1.167E+04	4799	5543	5350	4740	4991
81399	0.036	0.0685	0.04717	0.03388	0.03147	0.05406
100133331	3.019	8.124	4.878	3.032	2.614	3.242
107984841	1.062	2.209	1.832	1.773	1.532	2.1
107984847	4.173	6.123	5.809	5.777	6.375	8.662
107984849	2.094	3.064	2.056	3.013	1.949	3.348
100288069	1.697	3.129	2.409	2.318	1.91	2.279
105378580	0.4565	0.3982	0.4068	0.3518	0.3682	0.5676
400728	0.04865	0.06789	0.1403	0.186	0.1497	0.1429
79854	1.192	2.656	1.196	1.144	1.022	1.529
643837	2.897	1.794	4.377	5.219	4.07	3.824
107984850	0.7091	0.4303	0.4197	0.399	0.4743	0.7357
284593	0.1774	0.3095	0.1776	0.1501	0.08529	0.2035
284600	0.07354	0.1711	0.1178	0.1835	0.1791	0.08999
100130417	0.2763	0.7449	0.3219	0.3301	0.3382	0.5763
107985728	0.05707	0.3077	0.1911	0.1405	0.05986	0.1904
148398	3.854	8.052	3.045	2.598	2.774	3.571
26155	22.41	27.14	26.57	24.95	24.15	22.99
339451	4.889	6.988	5.075	4.367	3.941	4.577
84069	0.04723	0.01648	0.03782	0.04137	0.01817	0.06068
84808	0.08372	0.03651	0.05866	0.04167	0.01006	0.03842
57801	8.886	5.465	6.501	5.994	3.713	5.714
9636	19.03	12.43	14.03	10.85	9.023	9.592
375790	16.12	21.34	19.65	15.19	12.91	15.17
100288175	4.913	1.829	3.266	2.753	2.726	3.493
112267874	0.5248	0.1953	0.3587	0.4235	0.2288	0.244
105378948	1.872	0.791	1.141	0.7944	0.7599	1.177
401934	0	0.06947	0.06378	0.007928	0	0.03655
54991	7.739	10.04	8.296	5.667	6.671	6.61
254099	0	0	0	0	0	0
406984	0	0	0	0	0	0
406983	0	0	0	0	0	0
554210	0	0	0	0	0	0
100506376	0.00453	0	0.007255	0	0.008711	0.008314
254173	0.008806	0	0.03526	0.01402	0.0254	0.01616
8784	0.8161	0.2955	0.8631	0.7908	0.6662	0.8761
